set,agreement_threshold,correction_agreement,ratio_limit,trace_support,longest_arm_support,lower_perc,upper_perc,vanilla_blur,arm_correction_blur
cluster-buster-001,65,55,1.5,2,1,5,99,51,31
cluster-buster-002,65,55,1.0,2,1,5,99,51,31
cluster-buster-003,65,50,1.5,2,1,5,99,51,31
cluster-buster-004,65,50,1.0,2,1,5,99,51,31
cluster-buster-005,65,80,1.5,2,1,5,99,51,31
cluster-buster-006,65,80,1.0,2,1,5,99,51,31
cluster-buster-007,65,60,1.5,2,1,5,99,51,31
cluster-buster-008,65,60,1.0,2,1,5,99,51,31
cluster-buster-009,65,70,1.5,2,1,5,99,51,31
cluster-buster-010,65,70,1.0,2,1,5,99,51,31
cluster-buster-011,65,65,1.5,2,1,5,99,51,31
cluster-buster-012,65,65,1.0,2,1,5,99,51,31
cluster-buster-013,65,75,1.5,2,1,5,99,51,31
cluster-buster-014,65,75,1.0,2,1,5,99,51,31
cluster-buster-015,50,55,1.5,2,1,5,99,51,31
cluster-buster-016,50,55,1.0,2,1,5,99,51,31
cluster-buster-017,50,50,1.5,2,1,5,99,51,31
cluster-buster-018,50,50,1.0,2,1,5,99,51,31
cluster-buster-019,50,80,1.5,2,1,5,99,51,31
cluster-buster-020,50,80,1.0,2,1,5,99,51,31
cluster-buster-021,50,60,1.5,2,1,5,99,51,31
cluster-buster-022,50,60,1.0,2,1,5,99,51,31
cluster-buster-023,50,70,1.5,2,1,5,99,51,31
cluster-buster-024,50,70,1.0,2,1,5,99,51,31
cluster-buster-025,50,65,1.5,2,1,5,99,51,31
cluster-buster-026,50,65,1.0,2,1,5,99,51,31
cluster-buster-027,50,75,1.5,2,1,5,99,51,31
cluster-buster-028,50,75,1.0,2,1,5,99,51,31
cluster-buster-029,90,55,1.5,2,1,5,99,51,31
cluster-buster-030,90,55,1.0,2,1,5,99,51,31
cluster-buster-031,90,50,1.5,2,1,5,99,51,31
cluster-buster-032,90,50,1.0,2,1,5,99,51,31
cluster-buster-033,90,80,1.5,2,1,5,99,51,31
cluster-buster-034,90,80,1.0,2,1,5,99,51,31
cluster-buster-035,90,60,1.5,2,1,5,99,51,31
cluster-buster-036,90,60,1.0,2,1,5,99,51,31
cluster-buster-037,90,70,1.5,2,1,5,99,51,31
cluster-buster-038,90,70,1.0,2,1,5,99,51,31
cluster-buster-039,90,65,1.5,2,1,5,99,51,31
cluster-buster-040,90,65,1.0,2,1,5,99,51,31
cluster-buster-041,90,75,1.5,2,1,5,99,51,31
cluster-buster-042,90,75,1.0,2,1,5,99,51,31
cluster-buster-043,70,55,1.5,2,1,5,99,51,31
cluster-buster-044,70,55,1.0,2,1,5,99,51,31
cluster-buster-045,70,50,1.5,2,1,5,99,51,31
cluster-buster-046,70,50,1.0,2,1,5,99,51,31
cluster-buster-047,70,80,1.5,2,1,5,99,51,31
cluster-buster-048,70,80,1.0,2,1,5,99,51,31
cluster-buster-049,70,60,1.5,2,1,5,99,51,31
cluster-buster-050,70,60,1.0,2,1,5,99,51,31
cluster-buster-051,70,70,1.5,2,1,5,99,51,31
cluster-buster-052,70,70,1.0,2,1,5,99,51,31
cluster-buster-053,70,65,1.5,2,1,5,99,51,31
cluster-buster-054,70,65,1.0,2,1,5,99,51,31
cluster-buster-055,70,75,1.5,2,1,5,99,51,31
cluster-buster-056,70,75,1.0,2,1,5,99,51,31
cluster-buster-057,80,55,1.5,2,1,5,99,51,31
cluster-buster-058,80,55,1.0,2,1,5,99,51,31
cluster-buster-059,80,50,1.5,2,1,5,99,51,31
cluster-buster-060,80,50,1.0,2,1,5,99,51,31
cluster-buster-061,80,80,1.5,2,1,5,99,51,31
cluster-buster-062,80,80,1.0,2,1,5,99,51,31
cluster-buster-063,80,60,1.5,2,1,5,99,51,31
cluster-buster-064,80,60,1.0,2,1,5,99,51,31
cluster-buster-065,80,70,1.5,2,1,5,99,51,31
cluster-buster-066,80,70,1.0,2,1,5,99,51,31
cluster-buster-067,80,65,1.5,2,1,5,99,51,31
cluster-buster-068,80,65,1.0,2,1,5,99,51,31
cluster-buster-069,80,75,1.5,2,1,5,99,51,31
cluster-buster-070,80,75,1.0,2,1,5,99,51,31
cluster-buster-071,55,55,1.5,2,1,5,99,51,31
cluster-buster-072,55,55,1.0,2,1,5,99,51,31
cluster-buster-073,55,50,1.5,2,1,5,99,51,31
cluster-buster-074,55,50,1.0,2,1,5,99,51,31
cluster-buster-075,55,80,1.5,2,1,5,99,51,31
cluster-buster-076,55,80,1.0,2,1,5,99,51,31
cluster-buster-077,55,60,1.5,2,1,5,99,51,31
cluster-buster-078,55,60,1.0,2,1,5,99,51,31
cluster-buster-079,55,70,1.5,2,1,5,99,51,31
cluster-buster-080,55,70,1.0,2,1,5,99,51,31
cluster-buster-081,55,65,1.5,2,1,5,99,51,31
cluster-buster-082,55,65,1.0,2,1,5,99,51,31
cluster-buster-083,55,75,1.5,2,1,5,99,51,31
cluster-buster-084,55,75,1.0,2,1,5,99,51,31
cluster-buster-085,85,55,1.5,2,1,5,99,51,31
cluster-buster-086,85,55,1.0,2,1,5,99,51,31
cluster-buster-087,85,50,1.5,2,1,5,99,51,31
cluster-buster-088,85,50,1.0,2,1,5,99,51,31
cluster-buster-089,85,80,1.5,2,1,5,99,51,31
cluster-buster-090,85,80,1.0,2,1,5,99,51,31
cluster-buster-091,85,60,1.5,2,1,5,99,51,31
cluster-buster-092,85,60,1.0,2,1,5,99,51,31
cluster-buster-093,85,70,1.5,2,1,5,99,51,31
cluster-buster-094,85,70,1.0,2,1,5,99,51,31
cluster-buster-095,85,65,1.5,2,1,5,99,51,31
cluster-buster-096,85,65,1.0,2,1,5,99,51,31
cluster-buster-097,85,75,1.5,2,1,5,99,51,31
cluster-buster-098,85,75,1.0,2,1,5,99,51,31
cluster-buster-099,60,55,1.5,2,1,5,99,51,31
cluster-buster-100,60,55,1.0,2,1,5,99,51,31
cluster-buster-101,60,50,1.5,2,1,5,99,51,31
cluster-buster-102,60,50,1.0,2,1,5,99,51,31
cluster-buster-103,60,80,1.5,2,1,5,99,51,31
cluster-buster-104,60,80,1.0,2,1,5,99,51,31
cluster-buster-105,60,60,1.5,2,1,5,99,51,31
cluster-buster-106,60,60,1.0,2,1,5,99,51,31
cluster-buster-107,60,70,1.5,2,1,5,99,51,31
cluster-buster-108,60,70,1.0,2,1,5,99,51,31
cluster-buster-109,60,65,1.5,2,1,5,99,51,31
cluster-buster-110,60,65,1.0,2,1,5,99,51,31
cluster-buster-111,60,75,1.5,2,1,5,99,51,31
cluster-buster-112,60,75,1.0,2,1,5,99,51,31
cluster-buster-113,75,55,1.5,2,1,5,99,51,31
cluster-buster-114,75,55,1.0,2,1,5,99,51,31
cluster-buster-115,75,50,1.5,2,1,5,99,51,31
cluster-buster-116,75,50,1.0,2,1,5,99,51,31
cluster-buster-117,75,80,1.5,2,1,5,99,51,31
cluster-buster-118,75,80,1.0,2,1,5,99,51,31
cluster-buster-119,75,60,1.5,2,1,5,99,51,31
cluster-buster-120,75,60,1.0,2,1,5,99,51,31
cluster-buster-121,75,70,1.5,2,1,5,99,51,31
cluster-buster-122,75,70,1.0,2,1,5,99,51,31
cluster-buster-123,75,65,1.5,2,1,5,99,51,31
cluster-buster-124,75,65,1.0,2,1,5,99,51,31
cluster-buster-125,75,75,1.5,2,1,5,99,51,31
cluster-buster-126,75,75,1.0,2,1,5,99,51,31
